2026-04-27 12:11:39.791 INFO  [http-nio-8081-exec-5] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:11:39.815 INFO  [http-nio-8081-exec-3] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:12:09.007 INFO  [http-nio-8081-exec-5] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:12:09.009 INFO  [http-nio-8081-exec-5] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:12:09.027 INFO  [http-nio-8081-exec-3] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:13:43.807 INFO  [http-nio-8081-exec-2] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:13:43.809 INFO  [http-nio-8081-exec-2] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:13:43.822 INFO  [http-nio-8081-exec-6] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 12:14:19.312 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 12:14:19.313 INFO  [http-nio-8081-exec-8] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 12:14:19.336 INFO  [http-nio-8081-exec-10] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 13:15:54.604 WARN  [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m24s738ms690µs799ns).
2026-04-27 13:18:48.026 WARN  [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=53s418ms603µs).
2026-04-27 14:15:03.080 INFO  [http-nio-8081-exec-8] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 14:15:03.110 INFO  [http-nio-8081-exec-8] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 14:15:56.007 INFO  [http-nio-8081-exec-6] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
2026-04-27 14:23:02.546 INFO  [http-nio-8081-exec-1] club.taekwondo.service.jpa.ActualiteService - Recuperation de toutes les actualites.
2026-04-27 14:23:02.548 INFO  [http-nio-8081-exec-1] club.taekwondo.controller.mongo.ActualiteController - [CTRL] Actualités récupérées: 0
2026-04-27 14:23:02.585 INFO  [http-nio-8081-exec-2] club.taekwondo.service.jpa.ActualiteService - Recuperation des actualites pour le club : 1
